recnum;Objid;Metod;Startdag;Stoppdag;Mattid;Punkt1;Resultat1;Variation1;Enhet;Punkt2;Resultat2;Variation2;Punkt3;Resultat3;Variation3;Punkt4;Resultat4;Variation4;Punkt5;Resultat5;Variation5;Medelvarde;Variation;Fastighet;Adress1;LagenhetNr;Vaning1;Vaning2;Vaning3;Vaning4;Vaning5;Utford_av;Ort1;Postnummer1;Hustyp;Byggnadsar;Ombyggnad;Byggmaterial;Mark;Grund;Grundtat;Ventilation;Xkordinat;Ykordinat
1;6291;RM-3;;;24;;25.0000;;BQ/M3;;;;;;;;;;;;;;;AGGAN 5, STÄMNINGSGÅRDEN;STENBACKAVÄGEN 17;;;;;;;;;;;;;;;;;;;
2;6292;SPÅRFILM;1997-02-14 00:00:00.000;1997-05-20 00:00:00.000;95 dygn;VARDAGSRUM;40.0000;;Bq/m³ Radongas;SOVRUM;34.0000;;;;;;;;;;;37.0000;;ALDEBARAN 12;KANALGATAN 23;;;;;;;KAROLINSKA INSTITUTET;;;FLERPLANSHUS;1969;;;;;;MEKANISK FRÅNLUFT;7193061.000000000000000;1744578.000000000000000
3;6293;SPÅRFILM;1991-01-15 00:00:00.000;1991-04-15 00:00:00.000;;;;;Bq/m³ Radongas;;;;;;;;;;;;;100.0000;;ALMEN 24;ÅSGATAN 12;;;;;;;;;;;;;;;;;;;
4;58987;SPÅRFILM;1990-12-12 00:00:00.000;1991-03-10 00:00:00.000;;MATRUM;276.0000;+-40;Bq/m³ Radongas;SOVRUM;256.0000;+-40;;;;;;;;;;260.0000;;ALMEN 26;ÅSGATAN 16;;1;1;;;;SVERIGES GEOLOGISKA AB;;;;1949;;BLÅ BETONG;;KÄLLARE;0;MEKANISK TILL/FRÅNLUFT;7194551.470000000000000;782907.110000000000000
5;6295;SPÅRFILM;1997-01-22 00:00:00.000;1997-04-28 00:00:00.000;96 dygn;VARDAGSRUM;216.0000;;Bq/m³ Radongas;SOVRUM;252.0000;;;;;;;;;;;234.0000;;ALMEN 29;NORRBÖLEGATAN 11;;;;;;;KAROLINSKA INSTITUTET;;;PERMANENTBOSTAD;;;;;;;;7193401.000000000000000;1744724.000000000000000
6;6296;SPÅRFILM;1991-01-10 00:00:00.000;1991-04-15 00:00:00.000;95 dygn;VARDAGSRUM;562.0000;40;Bq/m³ Radongas;SOVRUM;554.0000;40;;;;;;;;;;560.0000;;ALMEN 31;NORRBÖLEGATAN 7;;1;1;;;;SVERIGES GEOLOGISKA AB;;;FLERPLANSHUS;1939;;BLÅ BETONG;;;;;7193400.000000000000000;1744668.000000000000000
7;6296;SPÅRFILM;1992-01-27 00:00:00.000;1992-03-31 00:00:00.000;64 dygn;VARDAGSRUM;178.0000;40;Bq/m³ Radongas;SOVRUM;154.0000;40;;;;;;;;;;160.0000;;ALMEN 31;NORRBÖLEGATAN 7;;3;3;;;;SVERIGES GEOLOGISKA AB;;;FLERPLANSHUS;1939;;BLÅ BETONG;;;;;7193400.000000000000000;1744668.000000000000000
8;6296;SPÅRFILM;1992-01-27 00:00:00.000;1992-03-31 00:00:00.000;64 dygn;SOVRUM;292.0000;40;Bq/m³ Radongas;VARDAGSRUM;316.0000;40;;;;;;;;;;300.0000;;ALMEN 31;NORRBÖLEGATAN 7;;2;2;;;;SVERIGES GEOLOGISKA AB;;;FLERPLANSHUS;1939;;BLÅ BETONG;;;;;7193400.000000000000000;1744668.000000000000000
9;6299;SPÅRFILM;1997-01-21 00:00:00.000;1997-04-23 00:00:00.000;92 dygn;VARDAGSRUM;31.0000;;BQ/M3;SOVRUM;32.0000;;;;;;;;;;;31.0000;;ASK 31;ODALGATAN 5;;;;;;;KAROLINSKA INSTITUTET;SKELLEFTEÅ;931 37;;;;;;;;;7193407.000000000000000;1745505.000000000000000
10;6300;SPÅRFILM;1981-03-05 00:00:00.000;1981-06-01 00:00:00.000;88 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;220.0000;;ASK 4;KÅGEVÄGEN 22;;;;;;;;;;FLERPLANSHUS;1956;;BLÅ-BTG;;KÄLLARE;;;7193450.000000000000000;1745475.000000000000000
11;6301;SPÅRFILM;1990-12-20 00:00:00.000;1991-03-20 00:00:00.000;90 dygn;VARDAGSRUM;204.0000;;BQ/M3;SOVRUM;204.0000;;;;;;;;;;;200.0000;;ASPEN 25;ÅSGATAN   3;;1;2;;;;SVERIGES GEOLOGISKA AB;;;PERMANENTBOSTAD;1953;1993;;;KÄLLARE;;SJÄLVDRAG;7193494.000000000000000;1744621.000000000000000
12;6302;KOLDOSA;1986-03-26 00:00:00.000;1986-04-02 00:00:00.000;7 dygn;GILLESTUGA;44.0000;;BQ/M3;;;;;;;;;;;;;;;BALKONGEN 6;SLÅTTERVÄGEN 25;;0;;;;;;;;;;;;;;;;;
13;6303;SPÅRFILM;1981-02-23 00:00:00.000;1981-06-01 00:00:00.000;98 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;140.0000;30;BASUNEN 2;TJÄDERVÄGEN 10;;;;;;;;;;;1969;1980;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7191966.000000000000000;1743225.000000000000000
14;6304;SPÅRFILM;1981-02-23 00:00:00.000;1981-05-26 00:00:00.000;92 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;200.0000;;BASUNEN 4;TJÄDERVÄGEN 18;;;;;;;;;;VILLA;1969;;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7191929.000000000000000;1743248.000000000000000
15;6304;SPÅRFILM;1995-11-05 00:00:00.000;1996-01-21 00:00:00.000;77 dygn;TV-RUM;350.0000;+-30;Bq/m³ Radongas;SOVRUM;410.0000;+-40;;;;;;;;;;380.0000;;BASUNEN 4;TJÄDERVÄGEN 18;;1;1;;;;MRM KONSULT AB;;;VILLA;1969;;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7191929.000000000000000;1743248.000000000000000
16;6306;SPÅRFILM;1995-10-24 00:00:00.000;1996-01-12 00:00:00.000;80 dygn;SOVRUM;210.0000;20;Bq/m³ Radongas;VARDAGSRUM;210.0000;20;;;;;;;;;;210.0000;;BASUNEN 6;TJÄDERVÄGEN 14;;0;1;;;;MRM KONSULT AB;;;VILLA;1970;;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7191935.000000000000000;1743194.000000000000000
17;6307;RM-3;;;24;;15.0000;;BQ/M3;;;;;;;;;;;;;;;BERGHEM 1:1;;;;;;;;;;;;;;;;;;;;
18;6308;RM-3;;;24;;;;BQ/M3;;;;;;;;;;;;;;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
19;6308;;;;;;;;BQ/M3;;;;;;;;;;;;;250.0000;80;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
20;6308;;;;;;;;BQ/M3;;;;;;;;;;;;;390.0000;125;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
21;6308;;;;;;;;BQ/M3;;;;;;;;;;;;;430.0000;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
22;6308;;;;;;;;BQ/M3;;;;;;;;;;;;;;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
23;6308; 7D;;;24;;239.0000;;BQ/M3;;;;;;;;;;;;;;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
24;6308;;;;24;;475.0000;;BQ/M3;;;;;;;;;;;;;;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
25;6308;RM-3;;;24;;176.0000;;BQ/M3;;;;;;;;;;;;;;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
26;6308;;;;;;;;BQ/M3;;;;;;;;;;;;;290.0000;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
27;6308;;;;;;;;BQ/M3;;;;;;;;;;;;;280.0000;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
28;6308;;;;;;;;BQ/M3;;;;;;;;;;;;;230.0000;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
29;6308;;;;;;;;BQ/M3;;;;;;;;;;;;;240.0000;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
30;6308;;;;;;;;BQ/M3;;;;;;;;;;;;;470.0000;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
31;6308;;;;;;;;BQ/M3;;;;;;;;;;;;;510.0000;;BERGHEM 2:25;TORPVÄGEN 22;;;;;;;;;;;;;;;;;;;
32;6322;SPÅRFILM;1997-02-12 00:00:00.000;1997-05-06 00:00:00.000;83 dygn;VARDAGSRUM;20.0000;;Bq/m³ Radongas;SOVRUM;20.0000;;;;;;;;;;;20.0000;;BERGSBYN 1:45;TROSSGRÄND 2;;;;;;;KAROLINSKA INSTITUTET;;;;;;;;;;;7188695.000000000000000;1753116.000000000000000
33;6323;RM-3;;;24;;85.0000;;BQ/M3;;;;;;;;;;;;;;;BERGTALLEN 5;TRAVVÄGEN 29;;;;;;;;;;;;;;;;;;;
34;6324;SPÅRFILM;1982-02-01 00:00:00.000;1982-04-26 00:00:00.000;84 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;500.0000;;BERGTALLEN 6;TRAVVÄGEN 31;;;;;;;;;;VILLA;1954;;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7191238.000000000000000;1745317.000000000000000
35;6324;SPÅRFILM;1997-02-28 00:00:00.000;1997-04-28 00:00:00.000;59 dygn;VARDAGSRUM;590.0000;50;Bq/m³ Radongas;SOVRUM;600.0000;50;;;;;;;;;;600.0000;;BERGTALLEN 6;TRAVVÄGEN 31;;1;1;;;;MRM KUNSULT AB;;;VILLA;1954;;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7191238.000000000000000;1745317.000000000000000
36;6326;SPÅRFILM;1997-01-23 00:00:00.000;1997-04-28 00:00:00.000;95 dygn;VARDAGSRUM;150.0000;;Bq/m³ Radongas;SOVRUM;160.0000;;;;;;;;;;;155.0000;;BJURFORS 1:10;BJURFORS 57;;;;;;;;;;;;;;;;;;7184404.000000000000000;1724248.000000000000000
37;6327;SPÅRFILM;1992-02-15 00:00:00.000;1992-03-21 00:00:00.000;35 dygn;VARDAGSRUM;544.0000;+-40;Bq/m³ Radongas;SOVRUM;688.0000;+-40;;;;;;;;;;620.0000;;SKELLEFTEÅ-BJURFORS 1:2;;;1;2;;;;MRM KONSULT AB;;;PERMANENTBOSTAD;;;;;;;;7151863.000000000000000;1721724.000000000000000
38;6328;SPÅRFILM;;;;;;;BQ/M3;;;;;;;;;;;;;;;BJURLIDEN 1:153;STORGATAN 25;;;;;;;;;;;;;;;;;;;
39;6329;SPÅRFILM;1997-01-22 00:00:00.000;1997-04-28 00:00:00.000;96 dygn;VARDAGSRUM;52.0000;;Bq/m³ Radongas;SOVRUM;27.0000;;;;;;;;;;;40.0000;;BJURLIDEN 1:156;RINGEN 2;;;;;;;KAROLINSKA INSTITUTET;;;;;;;;;;;7204112.000000000000000;1716889.000000000000000
40;6330;KOLDOSA;1984-03-06 00:00:00.000;1984-03-13 00:00:00.000;7 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;300.0000;;BJURLIDEN 1:239;FLINTGATAN 12;;;;;;;;;;VILLA;1963;;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7202816.000000000000000;1717031.000000000000000
41;6331;;1981-02-25 00:00:00.000;1981-06-01 00:00:00.000;96 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;680.0000;;BJURLIDEN 1:280;RINGEN 35;;;;;;;;;;VILLA;1955;1990;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7203696.000000000000000;1716706.000000000000000
42;6331;SPÅRFILM;1982-02-03 00:00:00.000;1982-04-29 00:00:00.000;85 dygn;SOVRUM;345.0000;;Bq/m³ Radondotter;;;;;;;;;;;;;;;BJURLIDEN 1:280;RINGEN 35;;;;;;;;;;VILLA;1955;1990;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7203696.000000000000000;1716706.000000000000000
43;6331;SPÅRFILM;1990-12-09 00:00:00.000;1991-05-02 00:00:00.000;144 dygn;VARDAGSRUM;366.0000;;Bq/m³ Radongas;SOVRUM;326.0000;;;;;;;;;;;340.0000;;BJURLIDEN 1:280;RINGEN 35;;1;2;;;;SGAB RADON;;;VILLA;1955;1990;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7203696.000000000000000;1716706.000000000000000
44;6334;SPÅRFILM;1997-01-22 00:00:00.000;1997-04-28 00:00:00.000;96 dygn;VARDAGSRUM;44.0000;;Bq/m³ Radongas;SOVRUM;45.0000;;;;;;;;;;;45.0000;;BJURLIDEN 1:296;TORGET 3;;;;;;;KAROLINSKA INSTITUTET;;;FLERPLANSHUS;;;;;;;;7203753.000000000000000;1717122.000000000000000
45;6335;SPÅRFILM;1990-12-04 00:00:00.000;1991-03-07 00:00:00.000;93 dygn;VARDAGSRUM;248.0000;;Bq/m³ Radongas;SOVRUM;148.0000;;;;;;;;;;;200.0000;;BJURLIDEN 1:305;FALKMANSGATAN 14;;1;2;;;;SVERIGES GEOLOGISKA AB;;;;;;OKÄNT;;;;;7203810.000000000000000;1717260.000000000000000
46;6336;SPÅRFILM;1990-12-04 00:00:00.000;1991-03-04 00:00:00.000;90 dygn;VARDAGSRUM;194.0000;;Bq/m³ Radongas;SOVRUM;208.0000;;;;;;;;;;;200.0000;;BJURLIDEN 1:306;FALKMANSGATAN 12;;1;2;;;;SVERIGES GOELOGISKA AB;;;;1953;;;;;;;7203860.000000000000000;1717270.000000000000000
48;6337;SPÅRFILM;1981-03-02 00:00:00.000;1981-06-01 00:00:00.000;91 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;420.0000;;BJURLIDEN 1:366;RINGEN 47;;;;;;;;;;;;;;;;;;;
49;6339;SPÅRFILM;1981-03-02 00:00:00.000;1981-06-01 00:00:00.000;91 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;20.0000;;BJURLIDEN 1:373;RINGEN 61;;;;;;;;;;;;;;;;;;;
50;6340;SPÅRFILM;1997-01-22 00:00:00.000;1997-04-28 00:00:00.000;96 dygn;VARDAGSRUM;40.0000;;Bq/m³ Radongas;SOVRUM;43.0000;;;;;;;;;;;41.0000;;BJURLIDEN 1:393;RINGEN 71 A;;;;;;;KAROLINSKA INSTITUTET;;;FLERPLANSHUS;1959;;;;;;SJÄLVDRAG;7203352.000000000000000;1717079.000000000000000
52;6341;SPÅRFILM;1982-02-03 00:00:00.000;1982-05-04 00:00:00.000;90 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;500.0000;;BJURLIDEN 1:458;ROTGATAN   2;;;;;;;;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203348.000000000000000;1716831.000000000000000
53;6341;SPÅRFILM;1990-12-09 00:00:00.000;1991-03-20 00:00:00.000;101 dygn;TV-RUM;412.0000;+-40;Bq/m³ Radongas;SOVRUM;388.0000;+-40;;;;;;;;;;400.0000;;BJURLIDEN 1:458;ROTGATAN   2;;0;1;;;;SVERIGES GEOLOGISKA AB;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203348.000000000000000;1716831.000000000000000
54;6341;SPÅRFILM;1994-12-08 00:00:00.000;1995-02-10 00:00:00.000;64 dygn;SOVRUM;120.0000;+-10;Bq/m³ Radongas;VARDAGSRUM;140.0000;+-10;;;;;;;;;;130.0000;;BJURLIDEN 1:458;ROTGATAN   2;;1;0;;;;MRM KONSULT AB;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203348.000000000000000;1716831.000000000000000
56;6345;SPÅRFILM;1982-02-03 00:00:00.000;1982-04-29 00:00:00.000;85 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;680.0000;;BJURLIDEN 1:459;ROTGATAN   4;;;;;;;;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203331.000000000000000;1716846.000000000000000
57;6345;SPÅRFILM;1990-12-05 00:00:00.000;1991-03-05 00:00:00.000;90 dygn;GILLESTUGA;388.0000;+-40;Bq/m³ Radongas;ALLRUM;416.0000;+-40;;;;;;;;;;400.0000;;BJURLIDEN 1:459;ROTGATAN   4;;0;1;;;;SVERIGES GEOLOGISKA AB;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203331.000000000000000;1716846.000000000000000
58;6345;SPÅRFILM;1994-12-08 00:00:00.000;1995-02-27 00:00:00.000;81 dygn;GILLESTUGA;90.0000;+-10;Bq/m³ Radongas;SOVRUM;80.0000;+-10;;;;;;;;;;100.0000;;BJURLIDEN 1:459;ROTGATAN   4;;0;1;;;;MRM KONSULT AB;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203331.000000000000000;1716846.000000000000000
59;6349;SPÅRFILM;1994-12-08 00:00:00.000;1995-02-24 00:00:00.000;78 dygn;VARDAGSRUM;60.0000;+-10;Bq/m³ Radongas;SOVRUM;130.0000;+-10;;;;;;;;;;100.0000;;BJURLIDEN 1:460;ROTGATAN   6;;1;0;;;;MRM KONSULT AB;;;KEDJEHUS;1968;;BLÅBETONG;;KÄLLARE;;VÄRMEÅTERVINNING;7203317.000000000000000;1716857.000000000000000
60;6349;SPÅRFILM;1982-02-03 00:00:00.000;1982-04-29 00:00:00.000;85 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;580.0000;;BJURLIDEN 1:460;ROTGATAN   6;;;;;;;;;;KEDJEHUS;1968;;BLÅBETONG;;KÄLLARE;;VÄRMEÅTERVINNING;7203317.000000000000000;1716857.000000000000000
61;6349;SPÅRFILM;1990-12-05 00:00:00.000;1991-03-15 00:00:00.000;100 dygn;VARDAGSRUM;526.0000;+-40;Bq/m³ Radongas;SOVRUM;522.0000;+-40;;;;;;;;;;520.0000;;BJURLIDEN 1:460;ROTGATAN   6;;1;1;;;;SVERIGES GEOLOGISKA AB;;;KEDJEHUS;1968;;BLÅBETONG;;KÄLLARE;;VÄRMEÅTERVINNING;7203317.000000000000000;1716857.000000000000000
63;6353;SPÅRFILM;1981-02-25 00:00:00.000;1981-06-01 00:00:00.000;96 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;2660.0000;;BJURLIDEN 1:465;ROTGATAN   8;;;;;;;;;;PERMANENTBOSTAD;1968;;OKÄNT;;KÄLLARE;;VÄRMEÅTERVINNING;7203305.000000000000000;1716880.000000000000000
64;6353;SPÅRFILM;1982-02-03 00:00:00.000;1982-04-27 00:00:00.000;83 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;700.0000;;BJURLIDEN 1:465;ROTGATAN   8;;;;;;;;;;PERMANENTBOSTAD;1968;;OKÄNT;;KÄLLARE;;VÄRMEÅTERVINNING;7203305.000000000000000;1716880.000000000000000
65;6353;KOLDOSA;1984-03-06 00:00:00.000;1984-03-13 00:00:00.000;7 dygn;;540.0000;;Bq/m³ Radongas;;;;;;;;;;;;;;;BJURLIDEN 1:465;ROTGATAN   8;;;;;;;;;;PERMANENTBOSTAD;1968;;OKÄNT;;KÄLLARE;;VÄRMEÅTERVINNING;7203305.000000000000000;1716880.000000000000000
66;6353;SPÅRFILM;1990-12-04 00:00:00.000;1991-03-04 00:00:00.000;90 dygn;VARDAGSRUM;408.0000;+-40;Bq/m³ Radongas;SOVRUM;394.0000;+-40;;;;;;;;;;400.0000;;BJURLIDEN 1:465;ROTGATAN   8;;1;1;;;;SVERIGE GEOLOGISKA AB;;;PERMANENTBOSTAD;1968;;OKÄNT;;KÄLLARE;;VÄRMEÅTERVINNING;7203305.000000000000000;1716880.000000000000000
67;6353;SPÅRFILM;1994-12-08 00:00:00.000;1995-02-20 00:00:00.000;74 dygn;GILLESTUGA;220.0000;+-20;Bq/m³ Radongas;SOVRUM;110.0000;+-10;;;;;;;;;;170.0000;;BJURLIDEN 1:465;ROTGATAN   8;;0;1;;;;MRM KONSULT AB;;;PERMANENTBOSTAD;1968;;OKÄNT;;KÄLLARE;;VÄRMEÅTERVINNING;7203305.000000000000000;1716880.000000000000000
70;6358;SPÅRFILM;1990-12-05 00:00:00.000;1991-03-18 00:00:00.000;103 dygn;HALLEN-RUMMET;396.0000;+-40;Bq/m³ Radongas;SOVRUM;384.0000;+-40;;;;;;;;;;400.0000;;BJURLIDEN 1:466;ROTGATAN 10;;1;1;;;;SVERIGES GEOLOGISKA AB;;;VILLA;1969;;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7203301.000000000000000;1716906.000000000000000
71;6358;SPÅRFILM;1982-02-03 00:00:00.000;1982-04-29 00:00:00.000;85 dygn;;626.0000;;BQ/M3;;68.0000;;;;;;;;;;;;;BJURLIDEN 1:466;ROTGATAN 10;;;;;;;;;;VILLA;1969;;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7203301.000000000000000;1716906.000000000000000
72;6362;SPÅRFILM;1981-02-25 00:00:00.000;1981-06-01 00:00:00.000;96 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;680.0000;;BJURLIDEN 1:467;SKOLGATAN 42;;;;;;;;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203300.000000000000000;1716928.000000000000000
73;6362;SPÅRFILM;1982-02-03 00:00:00.000;1982-04-29 00:00:00.000;85 dygn;;522.0000;;BQ/M3;;;;;;;;;;;;;;;BJURLIDEN 1:467;SKOLGATAN 42;;;;;;;;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203300.000000000000000;1716928.000000000000000
74;6362;SPÅRFILM;1990-12-05 00:00:00.000;1991-03-12 00:00:00.000;97 dygn;SOVRUM;534.0000;;Bq/m³ Radongas;GILLESTUGA;502.0000;;;;;;;;;;;520.0000;;BJURLIDEN 1:467;SKOLGATAN 42;;1;0;;;;SVERIGES GEOLOGISKA AB;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203300.000000000000000;1716928.000000000000000
75;6362;SPÅRFILM;1994-12-08 00:00:00.000;1995-02-09 00:00:00.000;63 dygn;SOVRUM;60.0000;+-10;Bq/m³ Radongas;GILLESTUGA;100.0000;+-10;;;;;;;;;;100.0000;;BJURLIDEN 1:467;SKOLGATAN 42;;1;0;;;;MRM KONSULT AB;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203300.000000000000000;1716928.000000000000000
77;6366;SPÅRFILM;1982-02-03 00:00:00.000;1982-04-29 00:00:00.000;85 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;660.0000;;BJURLIDEN 1:468;SKOLGATAN 44;;;;;;;;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203278.000000000000000;1716923.000000000000000
78;6366;SPÅRFILM;1990-12-05 00:00:00.000;1991-03-12 00:00:00.000;97 dygn;VARDAGSRUM;572.0000;;Bq/m³ Radongas;GILLESTUGA;718.0000;;;;;;;;;;;640.0000;;BJURLIDEN 1:468;SKOLGATAN 44;;1;0;;;;SVERIGES GEOLOGISKA AB;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203278.000000000000000;1716923.000000000000000
79;6366;SPÅRFILM;1994-12-08 00:00:00.000;1995-02-16 00:00:00.000;70 dygn;SOVRUM;690.0000;60;Bq/m³ Radongas;GILLESTUGA;700.0000;60;;;;;;;;;;700.0000;;BJURLIDEN 1:468;SKOLGATAN 44;;1;0;;;;MRM KONSULT AB;;;PERMANENTBOSTAD;1968;;BLÅ BETONG;;KÄLLARE;;MEKANISK TILL/FRÅNLUFT;7203278.000000000000000;1716923.000000000000000
80;6370;SPÅRFILM;1981-03-13 00:00:00.000;1981-06-01 00:00:00.000;80 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;380.0000;;BJURLIDEN 1:469;SKOLGATAN 46;;;;;;;;;;VILLA;1968;;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7203257.000000000000000;1716918.000000000000000
82;6370;SPÅRFILM;1990-12-09 00:00:00.000;1991-03-12 00:00:00.000;93 dygn;VARDAGSRUM;236.0000;;Bq/m³ Radongas;SOVRUM;222.0000;;;;;;;;;;;220.0000;;BJURLIDEN 1:469;SKOLGATAN 46;;1;1;;;;SVERIGES GEOLOGISKA AB;;;VILLA;1968;;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7203257.000000000000000;1716918.000000000000000
83;62287;SPÅRFILM;1981-03-02 00:00:00.000;1981-06-01 00:00:00.000;91 dygn;;;;Bq/m³ Radongas;;;;;;;;;;;;;560.0000;;BJURLIDEN 1:473;SKOLGATAN 37;;;;;;;;;;FLERPLANSHUS;;;;;;0;OLIKA VENTILATIONSSYSTEM;;
84;6374;RM-3;;;24;;;;BQ/M3;;;;;;;;;;;;;;;BJURLIDEN 1:552;IDROTTSVÄGEN 19;;;;;;;;;;;;;;;;;;;
85;61660;SPÅRFILM;1997-01-30 00:00:00.000;1997-04-28 00:00:00.000;88 dygn;VARDAGSRUM;96.0000;;Bq/m³ Radongas;SOVRUM;85.0000;;;;;;;;;;;90.0000;;BJURLIDEN 7:1;FALKMANGATAN 5 D;;;;;;;;;;FLERPLANSHUS;1961;;;;KÄLLARE;0;MEKANISK TILL/FRÅNLUFT;7204706.150000000000000;755294.530000000000000
87;6377;;;;;;;;BQ/M3;;;;;;;;;;;;;300.0000;95;BJURVATTNET 2:7;;;;;;;;;;;;;;;;;;;;
88;6377;;;;;;;;BQ/M3;;;;;;;;;;;;;;;BJURVATTNET 2:7;;;;;;;;;;;;;;;;;;;;
89;6379;;;;;;;;BQ/M3;;;;;;;;;;;;;300.0000;95;BJURVATTNET 3:8;;;;;;;;;;;;;;;;;;;;
90;6379;;;;;;;;BQ/M3;;;;;;;;;;;;;;;BJURVATTNET 3:8;;;;;;;;;;;;;;;;;;;;
91;6381;RM-3;;;24;;34.0000;;BQ/M3;;;;;;;;;;;;;;;BJÖRKLUND 1:8;;;;;;;;;;;;;;;;;;;;
92;58881;SPÅRFILM;1997-02-13 00:00:00.000;1998-02-10 00:00:00.000;362 dygn;VARDAGSRUM;32.0000;;Bq/m³ Radongas;SOVRUM;25.0000;;;;;;;;;;;28.0000;;BJÖRKSOPPEN 7;KÅGEVÄGEN 34 D;;;;;;;KAROLINSKA INSTITUTET;;;FLERPLANSHUS;1963;;;;;0;OLIKA VENTILATIONSSYSTEM;7194925.410000000000000;783751.850000000000000
93;58881;SPÅRFILM;1997-02-13 00:00:00.000;1997-05-05 00:00:00.000;81 dygn;VARDAGSRUM;21.0000;;Bq/m³ Radongas;SOVRUM;25.0000;;;;;;;;;;;23.0000;;BJÖRKSOPPEN 7;KÅGEVÄGEN 34 D;;;;;;;KAROLINSKA INSTITUTET;;;FLERPLANSHUS;1963;;;;;0;OLIKA VENTILATIONSSYSTEM;7194925.410000000000000;783751.850000000000000
