recnum;Objid;Metod;Startdag;Stoppdag;Mattid;Punkt1;Resultat1;Variation1;Enhet;Punkt2;Resultat2;Variation2;Punkt3;Resultat3;Variation3;Punkt4;Resultat4;Variation4;Punkt5;Resultat5;Variation5;Medelvarde;Variation;Fastighet;Adress1;LagenhetNr;Vaning1;Vaning2;Vaning3;Vaning4;Vaning5;Utford_av;Ort1;Postnummer1;Hustyp;Byggnadsar;Ombyggnad;Byggmaterial;Mark;Grund;Grundtat;Ventilation;Xkordinat;Ykordinat
5961;57228;SPÅRFILM MED FILTER (SSI-1);2005-12-18 00:00:00.000;2006-04-01 00:00:00.000;104 dygn;EJ BOUTRYMME;324.0000;40;BQ/M3 RADONGAS;;89.0000;20;;;;;;;;;;;;BYSKE 87:3;KYRKGATAN 3 B;;BOTTENPLAN;KÄLLARE;;;;GAMMADATA;BYSKE;930 47;VILLA;1951;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7216380.000000000000000;1754728.000000000000000
5962;57229;SPÅRFILM MED FILTER (SSI-1);2006-02-01 00:00:00.000;2006-05-02 00:00:00.000;90 dygn;ANNAT BOUTRYMME;15.0000;;BQ/M3 RADONGAS;SOVRUM;57.0000;20;;;;;;;;;;36.0000;;BYSKE 80:1;BÄCKGATAN 6;;BOTTENPLAN;KÄLLARE;;;;GAMMADATA;BYSKE;930 47;VILLA;1964;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7216427.000000000000000;1755357.000000000000000
5963;57230;SPÅRFILM MED FILTER (SSI-1);2005-12-07 00:00:00.000;2006-03-16 00:00:00.000;99 dygn;ANNAT BOUTRYMME;148.0000;20;BQ/M3 RADONGAS;ANNAT BOUTRYMME;122.0000;20;;;;;;;;;;135.0000;;BYSKE 7:9;MELLANGATAN 26;;BOTTENPLAN;1 TRAPPA UPP;;;;GAMMADATA;BYSKE;930 47;VILLA;1902;;OKÄNT;;;;SJÄLVDRAG;7216813.000000000000000;1754530.000000000000000
5964;57231;SPÅRFILM MED FILTER (SSI-1);2005-12-29 00:00:00.000;2006-03-30 00:00:00.000;91 dygn;ANNAT BOUTRYMME;96.0000;20;BQ/M3 RADONGAS;SOVRUM;115.0000;20;SOVRUM;109.0000;20;;;;;;;106.0000;;STRÖMFORS 1:147;YTTERVÄGEN 14;;BOTTENPLAN;KÄLLARE;1 TRAPPA UPP;;;GAMMADATA;BOLIDEN;936 32;VILLA;1953;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7204130.000000000000000;1717445.000000000000000
5965;57232;SPÅRFILM MED FILTER (SSI-1);2005-12-10 00:00:00.000;2006-03-14 00:00:00.000;94 dygn;ANNAT BOUTRYMME;123.0000;20;BQ/M3 RADONGAS;ANNAT BOUTRYMME;73.0000;20;;;;;;;;;;98.0000;;FROSTKÅGE 13:19;FROSTKÅGE 286;;BOTTENPLAN;1 TRAPPA UPP;;;;GAMMADATA;KÅGE;934 92;VILLA;1979;;OKÄNT;;PLATTA PÅ MARK;;MEKANISK TILL- & FRÅNLUFT;7207481.000000000000000;1746655.000000000000000
5966;60618;SPÅRFILM MED FILTER (SSI-1);2005-12-26 00:00:00.000;2006-03-26 00:00:00.000;90 dygn;ANNAT BOUTRYMME;1778.0000;220;BQ/M3 RADONGAS;ANNAT BOUTRYMME;529.0000;60;;;;;;;;;;1153.0000;;OSTVIK 6:24;BYGATAN 18;;SOUTERRÄNG;BOTTENPLAN;;;;GAMMADATA;KÅGE;934 91;VILLA;1941;;OKÄNT;;SUTERRÄNGHUS;;SJÄLVDRAG;;
5967;57234;SPÅRFILM MED FILTER (SSI-1);2005-12-26 00:00:00.000;2006-04-10 00:00:00.000;105 dygn;SOVRUM;181.0000;30;BQ/M3 RADONGAS;ANNAT BOUTRYMME;198.0000;30;;;;;;;;;;189.0000;;NORRLÅNGTRÄSK 1:46;NORRLÅNGTRÄSK 29;;BOTTENPLAN;SOUTERRÄNG;;;;GAMMADATA;KÅGE;934 95;VILLA;1974;;OKÄNT;;SOUTERRÄNG;;SJÄLVDRAG;7221951.000000000000000;1732814.000000000000000
5968;57235;SPÅRFILM MED FILTER (SSI-1);2005-12-16 00:00:00.000;2006-03-18 00:00:00.000;92 dygn;ANNAT BOUTRYMME;459.0000;50;BQ/M3 RADONGAS;SOVRUM;443.0000;50;;;;;;;;;;451.0000;;BYSKE 58:43;TRAPPGATAN 36;;;;;;;GAMMADATA;BYSKE;930 47;KEDJEHUS;1972;;OKÄNT;;PLATTA PÅ MARK;;;7215495.000000000000000;1754992.000000000000000
5969;57236;SPÅRFILM MED FILTER (SSI-1);2005-12-12 00:00:00.000;2006-03-26 00:00:00.000;104 dygn;ANNAT BOUTRYMME;130.0000;20;BQ/M3 RADONGAS;ANNAT BOUTRYMME;152.0000;20;;;;;;;;;;141.0000;;BYSKE 1:208;LÄGERGATAN 29;;BOTTENPLAN;BOTTENPLAN;;;;GAMMADATA;BYSKE;930 47;VILLA;1979;;OKÄNT;;PLATTA PÅ MARK;;VÄRMEÅTERVINNING;7216212.000000000000000;1756242.000000000000000
5970;57237;SPÅRFILM MED FILTER (SSI-1);2005-12-19 00:00:00.000;2006-03-20 00:00:00.000;91 dygn;SOVRUM;77.0000;20;BQ/M3 RADONGAS;SOVRUM;95.0000;20;;;;;;;;;;86.0000;;BYSKE 15:2;MANTELGATAN 6;;BOTTENPLAN;BOTTENPLAN;;;;GAMMADATA;BYSKE;930 47;VILLA;1978;;OKÄNT;;PLATTA PÅ MARK;;VÄRMEÅTERVINNING;7216265.000000000000000;1756295.000000000000000
