170913 10:55:45.938 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.938 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.938 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.938 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.938 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.938 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.938 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.938 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.938 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.938 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
170913 10:55:45.939 | INFO  | (SkellefteaOpenDataAdapter.java:convertCSV:214:pool-2-thread-1) | Cannot read one record due to miss match in header and file length-------------------------------------------------
